,성별코드,가맹점업종명,시군구명,총결제금액
357,F,보건위생,오산시,18215850
358,F,보건위생,용인시 기흥구,33912340
359,F,보건위생,용인시 수지구,25534064
360,F,보건위생,용인시 처인구,15068620
361,F,보건위생,의정부시,67510125
362,F,보건위생,이천시,19797660
363,F,보건위생,파주시,43338890
364,F,보건위생,하남시,131286110
365,F,보건위생,화성시,228970387
366,F,사무통신,가평군,95000
367,F,사무통신,고양시 덕양구,1281050
368,F,사무통신,고양시 일산동구,293650
369,F,사무통신,고양시 일산서구,264500
370,F,사무통신,과천시,921150
371,F,사무통신,광명시,221400
372,F,사무통신,광주시,142800
373,F,사무통신,구리시,427000
374,F,사무통신,군포시,485300
375,F,사무통신,남양주시,203010
376,F,사무통신,동두천시,31000
377,F,사무통신,부천시,1987900
378,F,사무통신,수원시 권선구,517550
379,F,사무통신,수원시 영통구,83450
380,F,사무통신,수원시 장안구,168000
381,F,사무통신,수원시 팔달구,169400
382,F,사무통신,안산시 단원구,351150
383,F,사무통신,안산시 상록구,2516500
384,F,사무통신,안성시,101000
385,F,사무통신,양주시,162000
386,F,사무통신,양평군,828300
387,F,사무통신,연천군,233100
388,F,사무통신,오산시,10200
389,F,사무통신,용인시 기흥구,61650
390,F,사무통신,용인시 수지구,181000
391,F,사무통신,용인시 처인구,42000
392,F,사무통신,의정부시,924250
393,F,사무통신,이천시,328400
394,F,사무통신,파주시,48400
395,F,사무통신,하남시,608350
396,F,사무통신,화성시,547450
397,F,서적문구,가평군,655600
398,F,서적문구,고양시 덕양구,22868160
399,F,서적문구,고양시 일산동구,11825725
400,F,서적문구,고양시 일산서구,8152760
401,F,서적문구,과천시,9914020
402,F,서적문구,광명시,6420310
403,F,서적문구,광주시,1549600
404,F,서적문구,구리시,1985825
405,F,서적문구,군포시,51272480
406,F,서적문구,남양주시,6393310
407,F,서적문구,동두천시,2149250
408,F,서적문구,부천시,27581994
409,F,서적문구,수원시 권선구,1762470
410,F,서적문구,수원시 영통구,9357960
411,F,서적문구,수원시 장안구,4753380
412,F,서적문구,수원시 팔달구,3562600
413,F,서적문구,안산시 단원구,22042329
414,F,서적문구,안산시 상록구,9052060
415,F,서적문구,안성시,1604760
416,F,서적문구,양주시,7331020
417,F,서적문구,양평군,16947790
418,F,서적문구,여주시,94000
419,F,서적문구,연천군,2199770
420,F,서적문구,오산시,6123564
421,F,서적문구,용인시 기흥구,3886622
422,F,서적문구,용인시 수지구,7057990
423,F,서적문구,용인시 처인구,1689390
424,F,서적문구,의정부시,6559960
425,F,서적문구,이천시,1704350
426,F,서적문구,파주시,9179900
427,F,서적문구,하남시,20869135
428,F,서적문구,화성시,53677860
429,F,수리서비스,가평군,170090
430,F,수리서비스,고양시 덕양구,5665700
431,F,수리서비스,고양시 일산동구,5854730
432,F,수리서비스,고양시 일산서구,2586100
433,F,수리서비스,과천시,780730
434,F,수리서비스,광명시,4784730
435,F,수리서비스,광주시,1785610
436,F,수리서비스,구리시,1888870
437,F,수리서비스,군포시,13606490
438,F,수리서비스,남양주시,7233280
439,F,수리서비스,동두천시,842400
440,F,수리서비스,부천시,21087104
441,F,수리서비스,수원시 권선구,3415260
442,F,수리서비스,수원시 영통구,5659570
443,F,수리서비스,수원시 장안구,2509490
444,F,수리서비스,수원시 팔달구,1716160
445,F,수리서비스,안산시 단원구,7039380
446,F,수리서비스,안산시 상록구,3487170
447,F,수리서비스,안성시,1242050
448,F,수리서비스,양주시,5568487
449,F,수리서비스,양평군,4757350
450,F,수리서비스,여주시,570900
451,F,수리서비스,연천군,2787200
452,F,수리서비스,오산시,1524250
453,F,수리서비스,용인시 기흥구,3461450
454,F,수리서비스,용인시 수지구,3905730
455,F,수리서비스,용인시 처인구,729680
456,F,수리서비스,의정부시,3871190
457,F,수리서비스,이천시,1064090
458,F,수리서비스,파주시,2709980
459,F,수리서비스,하남시,8985390
460,F,수리서비스,화성시,18829502
461,F,숙박업,가평군,768400
462,F,숙박업,고양시 덕양구,649026
463,F,숙박업,고양시 일산동구,90000
464,F,숙박업,고양시 일산서구,401000
465,F,숙박업,광명시,673000
466,F,숙박업,광주시,61500
467,F,숙박업,군포시,199000
468,F,숙박업,남양주시,50000
469,F,숙박업,동두천시,20000
470,F,숙박업,부천시,3493000
471,F,숙박업,수원시 권선구,605000
472,F,숙박업,수원시 영통구,275000
473,F,숙박업,수원시 팔달구,987800
474,F,숙박업,안산시 단원구,35000
475,F,숙박업,안성시,100000
476,F,숙박업,양주시,25000
477,F,숙박업,양평군,3008900
478,F,숙박업,연천군,310000
479,F,숙박업,오산시,80000
480,F,숙박업,용인시 기흥구,100000
481,F,숙박업,용인시 수지구,45000
482,F,숙박업,용인시 처인구,90000
483,F,숙박업,의정부시,159000
484,F,숙박업,이천시,85000
485,F,숙박업,파주시,65000
486,F,숙박업,포천시,116000
487,F,숙박업,하남시,1138000
488,F,숙박업,화성시,346500
489,F,신변잡화,가평군,2979580
490,F,신변잡화,고양시 덕양구,6333730
491,F,신변잡화,고양시 일산동구,6908130
492,F,신변잡화,고양시 일산서구,2879890
493,F,신변잡화,과천시,3510500
494,F,신변잡화,광명시,6295450
495,F,신변잡화,광주시,1433700
496,F,신변잡화,구리시,1245910
497,F,신변잡화,군포시,25301210
498,F,신변잡화,남양주시,6868680
499,F,신변잡화,동두천시,1709100
500,F,신변잡화,부천시,37982000
501,F,신변잡화,수원시 권선구,2673080
502,F,신변잡화,수원시 영통구,3321100
503,F,신변잡화,수원시 장안구,2358950
504,F,신변잡화,수원시 팔달구,3623561
505,F,신변잡화,안산시 단원구,7427570
506,F,신변잡화,안산시 상록구,6724435
507,F,신변잡화,안성시,748340
508,F,신변잡화,양주시,5132480
509,F,신변잡화,양평군,12031726
510,F,신변잡화,여주시,2697320
511,F,신변잡화,연천군,3309910
512,F,신변잡화,오산시,5774180
513,F,신변잡화,용인시 기흥구,2238630
514,F,신변잡화,용인시 수지구,774200
515,F,신변잡화,용인시 처인구,3230550
516,F,신변잡화,의정부시,7144014
517,F,신변잡화,이천시,2069590
518,F,신변잡화,파주시,1618780
519,F,신변잡화,하남시,5697900
520,F,신변잡화,화성시,7726170
521,F,약국,가평군,2147260
522,F,약국,고양시 덕양구,25939633
523,F,약국,고양시 일산동구,14784950
524,F,약국,고양시 일산서구,21626822
525,F,약국,과천시,7556200
526,F,약국,광명시,17262821
527,F,약국,광주시,5252210
528,F,약국,구리시,6649250
529,F,약국,군포시,104710850
530,F,약국,남양주시,22979798
531,F,약국,동두천시,3259200
532,F,약국,부천시,93989351
533,F,약국,수원시 권선구,7064060
534,F,약국,수원시 영통구,11587500
535,F,약국,수원시 장안구,7933940
536,F,약국,수원시 팔달구,6457440
537,F,약국,안산시 단원구,38878710
538,F,약국,안산시 상록구,23605944
539,F,약국,안성시,4412330
540,F,약국,양주시,22378900
541,F,약국,양평군,44974899
542,F,약국,여주시,5811530
543,F,약국,연천군,7624930
544,F,약국,오산시,14500930
545,F,약국,용인시 기흥구,14927080
546,F,약국,용인시 수지구,12947080
547,F,약국,용인시 처인구,8381492
548,F,약국,의정부시,15178450
549,F,약국,이천시,13666000
550,F,약국,파주시,10710610
551,F,약국,하남시,68668380
552,F,약국,화성시,62365708
553,F,여행,광명시,7000
554,F,여행,군포시,111100
555,F,여행,부천시,106500
556,F,여행,여주시,6300
557,F,여행,용인시 처인구,60000
558,F,여행,이천시,34300
559,F,여행,파주시,46000
560,F,연료판매점,가평군,9740949
561,F,연료판매점,과천시,2254886
562,F,연료판매점,광명시,410000
563,F,연료판매점,광주시,12563697
564,F,연료판매점,군포시,66466713
565,F,연료판매점,동두천시,2707679
566,F,연료판매점,수원시 권선구,8210490
567,F,연료판매점,수원시 영통구,2424071
568,F,연료판매점,수원시 장안구,5577491
569,F,연료판매점,수원시 팔달구,5000
570,F,연료판매점,안산시 단원구,60000
571,F,연료판매점,안산시 상록구,542858
572,F,연료판매점,안성시,21077889
573,F,연료판매점,양주시,10982758
574,F,연료판매점,양평군,218199519
575,F,연료판매점,여주시,690925
576,F,연료판매점,연천군,1653300
577,F,연료판매점,오산시,4915908
578,F,연료판매점,용인시 기흥구,1414774
579,F,연료판매점,용인시 수지구,884000
580,F,연료판매점,용인시 처인구,6825528
581,F,연료판매점,의정부시,4103941
582,F,연료판매점,이천시,285741
583,F,연료판매점,파주시,1089270
584,F,연료판매점,하남시,130640868
585,F,연료판매점,화성시,17913151
586,F,용역 서비스,가평군,39900
587,F,용역 서비스,고양시 덕양구,5327395
588,F,용역 서비스,고양시 일산동구,4378500
589,F,용역 서비스,고양시 일산서구,3870300
590,F,용역 서비스,과천시,2389530
591,F,용역 서비스,광명시,1954210
592,F,용역 서비스,광주시,277500
593,F,용역 서비스,구리시,397950
594,F,용역 서비스,군포시,8089630
595,F,용역 서비스,남양주시,1038370
596,F,용역 서비스,동두천시,490500
597,F,용역 서비스,부천시,16872010
598,F,용역 서비스,수원시 권선구,432500
599,F,용역 서비스,수원시 영통구,4147900
600,F,용역 서비스,수원시 장안구,1382660
601,F,용역 서비스,수원시 팔달구,3185000
602,F,용역 서비스,안산시 단원구,8527000
603,F,용역 서비스,안산시 상록구,657000
604,F,용역 서비스,안성시,636700
605,F,용역 서비스,양주시,1092650
606,F,용역 서비스,양평군,1921500
607,F,용역 서비스,여주시,124016
608,F,용역 서비스,연천군,43600
609,F,용역 서비스,오산시,69800
610,F,용역 서비스,용인시 기흥구,4373000
611,F,용역 서비스,용인시 수지구,1183500
612,F,용역 서비스,용인시 처인구,230400
613,F,용역 서비스,의정부시,2271470
614,F,용역 서비스,이천시,423000
