년월,시도명,시군구명,성별코드,가맹점업종명,총결제금액
2019-04,경기도,부천시,M,수리서비스,551490
2019-04,경기도,부천시,M,의류,556800
2019-04,경기도,부천시,M,레져용품,758200
2019-04,경기도,부천시,M,자동차정비 유지,866200
2019-04,경기도,부천시,M,회원제형태,998000
2019-04,경기도,부천시,M,약국,999240
2019-04,경기도,부천시,M,문화.취미,1193420
2019-04,경기도,부천시,M,레저업소,1850600
2019-04,경기도,부천시,M,기타의료기관,1931670
2019-04,경기도,부천시,M,의원,2243000
2019-04,경기도,부천시,M,보건위생,4181500
2019-04,경기도,부천시,M,학원,7395000
2019-04,경기도,부천시,M,음료식품,8600710
2019-04,경기도,부천시,M,유통업 영리,11364160
2019-04,경기도,부천시,M,일반휴게음식,40652380
2019-04,경기도,성남시 분당구,F,음료식품,25000
2019-04,경기도,성남시 분당구,M,음료식품,15000
2019-04,경기도,성남시 분당구,M,일반휴게음식,174000
2019-04,경기도,성남시 수정구,F,학원,215000
2019-04,경기도,성남시 중원구,F,음료식품,56900
2019-04,경기도,성남시 중원구,M,음료식품,41500
2019-04,경기도,수원시 권선구,F,서적문구,11500
2019-04,경기도,수원시 권선구,F,레저업소,16000
2019-04,경기도,수원시 권선구,F,광학제품,30000
2019-04,경기도,수원시 권선구,F,연료판매점,34445
2019-04,경기도,수원시 권선구,F,신변잡화,37000
2019-04,경기도,수원시 권선구,F,용역 서비스,50000
2019-04,경기도,수원시 권선구,F,회원제형태,93000
2019-04,경기도,수원시 권선구,F,약국,114800
2019-04,경기도,수원시 권선구,F,수리서비스,116620
2019-04,경기도,수원시 권선구,F,사무통신,172000
2019-04,경기도,수원시 권선구,F,자동차정비 유지,275060
2019-04,경기도,수원시 권선구,F,의류,320000
2019-04,경기도,수원시 권선구,F,의원,375700
2019-04,경기도,수원시 권선구,F,학원,420000
2019-04,경기도,수원시 권선구,F,보건위생,808000
2019-04,경기도,수원시 권선구,F,음료식품,995280
2019-04,경기도,수원시 권선구,F,유통업 영리,995960
2019-04,경기도,수원시 권선구,F,일반휴게음식,4689940
2019-04,경기도,수원시 권선구,M,건축자재,5000
2019-04,경기도,수원시 권선구,M,주방용구,13000
2019-04,경기도,수원시 권선구,M,농업,14000
2019-04,경기도,수원시 권선구,M,광학제품,30000
2019-04,경기도,수원시 권선구,M,자동차정비 유지,45000
2019-04,경기도,수원시 권선구,M,신변잡화,49300
2019-04,경기도,수원시 권선구,M,수리서비스,83500
2019-04,경기도,수원시 권선구,M,약국,112630
2019-04,경기도,수원시 권선구,M,문화.취미,122200
2019-04,경기도,수원시 권선구,M,학원,130000
2019-04,경기도,수원시 권선구,M,사무통신,146500
2019-04,경기도,수원시 권선구,M,서적문구,209000
2019-04,경기도,수원시 권선구,M,레져용품,346000
2019-04,경기도,수원시 권선구,M,레저업소,398500
2019-04,경기도,수원시 권선구,M,보건위생,604500
2019-04,경기도,수원시 권선구,M,음료식품,718750
2019-04,경기도,수원시 권선구,M,의원,791930
2019-04,경기도,수원시 권선구,M,유통업 영리,1267330
2019-04,경기도,수원시 권선구,M,일반휴게음식,7942850
2019-04,경기도,수원시 영통구,F,자동차정비 유지,500
2019-04,경기도,수원시 영통구,F,기타,4400
2019-04,경기도,수원시 영통구,F,유통업 비영리,48700
2019-04,경기도,수원시 영통구,F,약국,158110
2019-04,경기도,수원시 영통구,F,문화.취미,165900
2019-04,경기도,수원시 영통구,F,수리서비스,188980
2019-04,경기도,수원시 영통구,F,의류,195800
2019-04,경기도,수원시 영통구,F,서적문구,254960
2019-04,경기도,수원시 영통구,F,의원,263100
2019-04,경기도,수원시 영통구,F,레저업소,335300
2019-04,경기도,수원시 영통구,F,용역 서비스,468500
2019-04,경기도,수원시 영통구,F,학원,540000
2019-04,경기도,수원시 영통구,F,유통업 영리,653540
2019-04,경기도,수원시 영통구,F,회원제형태,659000
2019-04,경기도,수원시 영통구,F,보건위생,761000
2019-04,경기도,수원시 영통구,F,음료식품,1303140
2019-04,경기도,수원시 영통구,F,일반휴게음식,4629042
2019-04,경기도,수원시 영통구,M,사무통신,6540
2019-04,경기도,수원시 영통구,M,건축자재,13500
2019-04,경기도,수원시 영통구,M,의류,15000
2019-04,경기도,수원시 영통구,M,레져용품,25000
2019-04,경기도,수원시 영통구,M,문화.취미,35000
2019-04,경기도,수원시 영통구,M,광학제품,37600
2019-04,경기도,수원시 영통구,M,용역 서비스,55000
2019-04,경기도,수원시 영통구,M,서적문구,78950
2019-04,경기도,수원시 영통구,M,약국,190600
2019-04,경기도,수원시 영통구,M,회원제형태,200000
2019-04,경기도,수원시 영통구,M,수리서비스,203150
2019-04,경기도,수원시 영통구,M,자동차정비 유지,361000
2019-04,경기도,수원시 영통구,M,레저업소,613400
2019-04,경기도,수원시 영통구,M,음료식품,829640
2019-04,경기도,수원시 영통구,M,학원,1427000
